Question,Opt_1,Opt_2,Opt_3,Opt_4,Opt_5
A menudo me encuentro confundido sobre cuál es la emoción que estoy sintiendo.,Totalmente en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo
Me es difícil encontrar las palabras exactas para describir mis sentimientos.,Totalmente en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo
Tengo sensaciones físicas que ni los médicos entienden.,Totalmente en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo
Soy capaz de describir mis sentimientos con facilidad.,Totalmente en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo
Prefiero analizar los problemas en vez de describirlos o explicarlos.,Totalmente en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo
"Cuando estoy mal no sé si estoy triste, asustado o enfadado.",Totalmente en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo
A menudo estoy hecho un lío con las sensaciones que noto en mi cuerpo.,Totalmente en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo
"Prefiero dejar que pasen las cosas, en vez de analizar por qué han ocurrido así.",Totalmente en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo
Tengo sentimientos que no puedo identificar.,Totalmente en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo
Es esencial estar en contacto con la gente y sentir emociones y sentimientos.,Totalmente en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo
Me es difícil describir o explicar lo que siento sobre la gente.,Totalmente en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo
La gente me pide que explique con más detalle mis sentimientos.,Totalmente en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo
"No sé qué está pasando en mi interior, dentro de mí.",Totalmente en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo
A menudo no sé por qué estoy enfadado.,Totalmente en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo
Prefiero hablar con la gente sobre sus actividades diarias más que de sus sentimientos.,Totalmente en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo
"Prefiero ver programas de TV de entretenimiento, superficiales, en vez de dramas psicológicos.",Totalmente en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo
"Me es difícil revelar mis más profundos sentimientos, incluso a mis amigos íntimos.",Totalmente en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo
"Puedo sentirme cercano a alguien, comprender sus sentimientos, incluso en momentos de silencio.",Totalmente en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo
Me resulta útil examinar mis sentimientos para resolver problemas personales.,Totalmente en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo
Buscar el significado oculto de las películas distrae de la diversión que se pueda sentir viéndolas simplemente.,Totalmente en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo
